date,state,death,death_confirmed,death_increase,death_probable,hospitalized,hospitalized_currently,hospitalized_increase,in_icu_cumulative,in_icu_currently,negative,negative_increase,negative_tests_antibody,Negative_Antibody_Tests_People,negative_tests_viral,on_ventilator_cumulative,on_ventilator_currently,positive,positive_cases_viral,positive_increase,Positive_Antibody_Test,Positive_Antigen_Test,Positive_Antibody_Test_People,positive_tests_people_antigen,positive_tests_viral,recovered,total_test_encounters_viral,total_test_encounters_viral_increase,total_test_results,total_test_results_increase,total_tests_antibody,total_tests_antigen,total_tests_people_antibody,total_tests_people_antigen,total_tests_people_viral,total_tests_people_viral_increase,total_tests_viral,total_tests_viral_increase
2021-01-22,CO,5462,4761,22,701.0,21146.0,772.0,105,0.0,0.0,1969395.0,6963,285409.0,0.0,0.0,0.0,0.0,383008.0,364775.0,1798,40775.0,0.0,0.0,0.0,0.0,0.0,5185408.0,45107,5185408.0,45107,328039.0,0.0,0.0,0.0,2334170.0,8597,0.0,0
2021-01-21,CO,5440,4746,18,694.0,21041.0,783.0,64,0.0,0.0,1962432.0,7831,283758.0,0.0,0.0,0.0,0.0,381210.0,363141.0,1983,40224.0,0.0,0.0,0.0,0.0,0.0,5140301.0,41760,5140301.0,41760,326184.0,0.0,0.0,0.0,2325573.0,9599,0.0,0
2021-01-20,CO,5422,4731,34,691.0,20977.0,827.0,208,0.0,0.0,1954601.0,5004,282173.0,0.0,0.0,0.0,0.0,379227.0,361373.0,1371,39822.0,0.0,0.0,0.0,0.0,0.0,5098541.0,40778,5098541.0,40778,323982.0,0.0,0.0,0.0,2315974.0,6201,0.0,0
2021-01-19,CO,5388,4702,2,686.0,20769.0,786.0,52,0.0,0.0,1949597.0,6519,279526.0,0.0,0.0,0.0,0.0,377856.0,360176.0,1685,38927.0,0.0,0.0,0.0,0.0,0.0,5057763.0,25722,5057763.0,25722,321995.0,0.0,0.0,0.0,2309773.0,7989,0.0,0
2021-01-18,CO,5386,4699,7,687.0,20717.0,862.0,30,0.0,0.0,1943078.0,4572,278992.0,0.0,0.0,0.0,0.0,376171.0,358706.0,1190,38783.0,0.0,0.0,0.0,0.0,0.0,5032041.0,24915,5032041.0,24915,318453.0,0.0,0.0,0.0,2301784.0,5684,0.0,0
2021-01-17,CO,5379,4694,16,685.0,20687.0,879.0,23,0.0,0.0,1938506.0,6473,278015.0,0.0,0.0,0.0,0.0,374981.0,357594.0,1498,38519.0,0.0,0.0,0.0,0.0,0.0,5007126.0,33385,5007126.0,33385,317775.0,0.0,0.0,0.0,2296100.0,7898,0.0,0
2021-01-16,CO,5363,4679,20,684.0,20664.0,911.0,37,0.0,0.0,1932033.0,6809,276206.0,0.0,0.0,0.0,0.0,373483.0,356169.0,2025,38074.0,0.0,0.0,0.0,0.0,0.0,4973741.0,36638,4973741.0,36638,316534.0,0.0,0.0,0.0,2288202.0,8588,0.0,0
2021-01-15,CO,5343,4659,27,684.0,20627.0,891.0,101,0.0,0.0,1925224.0,6770,273944.0,0.0,0.0,0.0,0.0,371458.0,354390.0,2281,37552.0,0.0,0.0,0.0,0.0,0.0,4937103.0,41266,4937103.0,41266,314280.0,0.0,0.0,0.0,2279614.0,8852,0.0,0
2021-01-14,CO,5316,4632,31,684.0,20526.0,903.0,94,0.0,0.0,1918454.0,6227,270876.0,0.0,0.0,0.0,0.0,369177.0,352308.0,2403,36847.0,0.0,0.0,0.0,0.0,0.0,4895837.0,38882,4895837.0,38882,311496.0,0.0,0.0,0.0,2270762.0,8390,0.0,0
2021-01-13,CO,5285,4596,43,689.0,20432.0,886.0,152,0.0,0.0,1912227.0,7235,268778.0,0.0,0.0,0.0,0.0,366774.0,350145.0,2438,36230.0,0.0,0.0,0.0,0.0,0.0,4856955.0,35319,4856955.0,35319,307723.0,0.0,0.0,0.0,2262372.0,9350,0.0,0
2021-01-12,CO,5242,4558,29,684.0,20280.0,930.0,265,0.0,0.0,1904992.0,4291,266762.0,0.0,0.0,0.0,0.0,364336.0,348030.0,1511,35596.0,0.0,0.0,0.0,0.0,0.0,4821636.0,23473,4821636.0,23473,305008.0,0.0,0.0,0.0,2253022.0,5567,0.0,0
2021-01-11,CO,5213,4539,5,674.0,20015.0,914.0,30,0.0,0.0,1900701.0,5880,266762.0,0.0,0.0,0.0,0.0,362825.0,346754.0,1677,35596.0,0.0,0.0,0.0,0.0,0.0,4798163.0,27412,4798163.0,27412,302358.0,0.0,0.0,0.0,2247455.0,7538,0.0,0
2021-01-10,CO,5208,4534,18,674.0,19985.0,873.0,23,0.0,0.0,1894821.0,7972,264123.0,0.0,0.0,0.0,0.0,361148.0,345096.0,2201,34893.0,0.0,0.0,0.0,0.0,0.0,4770751.0,33948,4770751.0,33948,300702.0,0.0,0.0,0.0,2239917.0,9993,0.0,0
